,ID,Latitude,Longitude
0,ACHA3,-110.77107,32.247647
1,ACJU1,-109.38736,40.357977
2,ACKA3,-108.91466,32.366765
3,ACSC2,-107.35824,38.937036
4,ADBA3,-112.15074,33.671252
5,AFHA3,-112.23756,34.485012
6,AFMA3,-112.06289,34.314597
7,AFPU1,-111.68126,40.447813
8,AFRA3,-112.16837,34.015028
9,AJUA3,-111.53585,33.56567
10,ALEC2,-106.84979,38.665646
11,ALMA3,-113.60072,34.23301
12,ALTC2,-106.84475,38.664725
13,ANBC2,-107.66732,37.790277
14,APNC2,-106.80174,39.179823
15,ARFN5,-108.20168,36.721574
16,ARVA3,-110.62949,32.844429
17,ASHU1,-109.62201,40.577226
18,ASRU1,-113.23524,37.410699
19,ATPA3,-111.40463,31.838741
20,AVOA3,-112.33269,33.434902
21,BABA3,-110.22673,31.700119
22,BAKC2,-105.85721,40.32583
23,BCBA3,-113.44442,34.54148
24,BCNU1,-112.09682,41.573736
25,BCTU1,-111.78126,40.618557
26,BCWU1,-111.90022,40.681008
27,BDAC2,-107.86924,37.057146
28,BDWU1,-114.04615,37.469516
29,BEAA3,-113.93294,36.901734
30,BEAW4,-111.01794,41.434631
31,BERU1,-110.85324,40.965218
32,BESI1,-111.58301,42.613951
33,BEVU1,-112.56965,38.280188
34,BFFU1,-109.86407,37.146955
35,BIGU1,-111.83554,40.661688
36,BIGW4,-109.42797,42.249287
37,BIUI1,-111.92926,42.004994
38,BKFA3,-110.21133,33.713036
39,BLCA3,-109.19586,33.290505
40,BLKI1,-111.31457,42.122377
41,BLLA3,-112.38767,33.391773
42,BMDC2,-107.33353,38.45379
43,BMWA3,-111.24401,32.248474
44,BNMA3,-109.531,32.955723
45,BNRU1,-110.57958,40.959163
46,BORW4,-110.87343,42.293855
47,BPNW4,-109.92914,42.565753
48,BPPA3,-109.76357,33.47702
49,BRAI1,-111.35615,42.401542
50,BRBW4,-111.05336,42.210985
51,BRTA3,-111.63179,33.817717
52,BSRW4,-109.47267,42.298519
53,BSWC2,-106.05088,39.569486
54,BUEC2,-106.03134,39.45599
55,BWCA3,-110.94184,32.412862
