,ID,Latitude,Longitude
0,SBDW4,-108.17778,43.416389
1,LVEW4,-108.1815,44.75857
2,MEEW4,-108.87288,44.15865
3,CDYW4,-109.18443,44.5014
4,KEYW4,-104.779167,44.381944
5,SMYM8,-113.420653,48.833037
6,SMBM8,-113.299547,49.011408
7,PDBM8,-112.545,49.0075
8,ERNM8,-110.421944,48.975
9,NGTC2,-106.3392,40.9366
10,ECRW4,-106.71472,41.303333
11,KCRW4,-106.22279,41.585246
12,SETW4,-106.9081,42.1558
13,WODW4,-105.980769,41.138005
14,SMTW4,-106.034729,41.294973
15,SPYC2,-105.6218,38.9721
16,SPTC2,-105.1699,39.4088
17,MRRC2,-105.1956,39.6531
18,GLDC2,-105.2347,39.7531
19,LNSC2,-105.2603,40.2179
20,OROC2,-105.3308,40.0064
21,BELC2,-105.3053,39.9335
22,FTDC2,-105.2242,40.6645
23,LRRM8,-112.371363,44.655782
24,CLKM8,-112.8575,45.001667
25,BARM8,-112.749722,45.116389
26,MLRM8,-112.700833,45.526667
27,HBDM8,-111.338781,44.866392
28,GLGM8,-111.270833,45.497222
29,LOGM8,-111.438286,45.885356
30,TOSM8,-111.420278,46.146572
31,FBNM8,-110.666142,47.816911
32,VRGM8,-110.258822,48.003783
33,LDKM8,-108.687744,47.631431
34,FPKM8,-106.411667,48.011944
35,AGSM8,-112.753611,47.601667
36,SHLM8,-111.889836,48.427197
37,HLWM8,-109.841194,46.4288
38,YLOW4,-110.381,44.56758
39,CORM8,-110.793611,45.111944
40,LIVM8,-110.566497,45.597211
41,BILM8,-108.468031,45.800119
42,MILM8,-105.860033,46.420772
43,SIDM8,-104.155278,47.6775
44,BTMM8,-109.938706,45.833794
45,SRAM8,-109.422056,45.536742
46,BFYM8,-109.065367,45.009911
47,STXM8,-107.918889,45.316903
48,HRDM8,-107.556667,45.735833
49,DAYW4,-107.303889,44.849444
50,DSLM8,-106.835944,45.009136
51,DKRM8,-106.770833,45.141389
52,MHDM8,-105.878378,45.057197
53,LOCM8,-105.310331,46.429436
